Sensor,Textura,Periodo,Humedad
SP200,R,280,0.275
SP200,R,300,0.29
SP200,R,320,0.315
SP200,R,340,0.335
SP200,R,360,0.347
SP200,R,380,0.37
SP200,R,400,0.38
SP200,R,420,0.4
SP200,R,440,0.42
SP200,R,460,0.435
SP200,R,480,0.45
SP200,R,500,0.47
SP200,R,520,0.49
SP200,R,540,0.5
SP200,R,560,0.52
SP200,MR,300,0.22
SP200,MR,320,0.23
SP200,MR,340,0.24
SP200,MR,360,0.255
SP200,MR,380,0.25
SP200,MR,400,0.26
SP200,MR,420,0.27
SP200,MR,440,0.275
SP200,MR,460,0.28
SP200,MR,480,0.29
SP200,MR,500,0.3
SP200,MR,520,0.31
SP200,MR,540,0.32
SP200,MR,560,0.325
SP200,MR,580,0.33
SP200,MR,600,0.34
SP200,MR,620,0.345
SP200,MR,640,0.355
SP200,MR,660,0.36
SP300,R,280,0.275
SP300,R,300,0.29
SP300,R,320,0.315
SP300,R,340,0.335
SP300,R,360,0.347
SP300,R,380,0.37
SP300,R,400,0.38
SP300,R,420,0.4
SP300,R,440,0.42
SP300,R,460,0.435
SP300,R,480,0.45
SP300,R,500,0.47
SP300,R,520,0.49
SP300,R,540,0.5
SP300,R,560,0.52
SP300,MR,300,0.22
SP300,MR,320,0.23
SP300,MR,340,0.24
SP300,MR,360,0.255
SP300,MR,380,0.25
SP300,MR,400,0.26
SP300,MR,420,0.27
SP300,MR,440,0.275
SP300,MR,460,0.28
SP300,MR,480,0.29
SP300,MR,500,0.3
SP300,MR,520,0.31
SP300,MR,540,0.32
SP300,MR,560,0.325
SP300,MR,580,0.33
SP300,MR,600,0.34
SP300,MR,620,0.345
SP300,MR,640,0.355
SP300,MR,660,0.36
CSHS-II,R,344,0.479194631
CSHS-II,R,334,0.46807
CSHS-II,R,324,0.45702
CSHS-II,R,314,0.44597
CSHS-II,R,304,0.43492
CSHS-II,R,290,0.42387
CSHS-II,R,284,0.41282
CSHS-II,R,274,0.40177
CSHS-II,R,264,0.39072
CSHS-II,R,254,0.37967
CSHS-II,R,244,0.36862
CSHS-II,R,234,0.35757
CSHS-II,R,224,0.34652
CSHS-II,R,214,0.33547
CSHS-II,R,204,0.32442
CS615,R,186,0.404220045
CS615,R,189,0.395509858
CS615,R,177,0.327315403
CS615,R,183,0.372224
CS615,R,168,0.335673981
CS615,R,236,0.479499448
CS615,R,204,0.446708464
CS615,R,220,0.442088663
CS615,R,180,0.364912858
CS615,R,191,0.369084172
CS615,R,207,0.402048355
CS615,R,183,0.361379814
CS615,R,188,0.3568448
CS615,R,202,0.371167294
CS615,R,149,0.313068454
CS615,R,187,0.329903537
CS615,R,180,0.384100946
CS615,R,181,0.391467864
CS615,R,196,0.404218429
CS615,R,223,0.422100657
CS615,R,184,0.373028689
CS615,R,200,0.401805054
CS615,R,121,0.212962963
CS615,R,173,0.307565296
CS625,R,186,0.404220045
CS625,R,189,0.395509858
CS625,R,177,0.327315403
CS625,R,183,0.372224
CS625,R,168,0.335673981
CS625,R,236,0.479499448
CS625,R,204,0.446708464
CS625,R,220,0.442088663
CS625,R,180,0.364912858
CS625,R,191,0.369084172
CS625,R,207,0.402048355
CS625,R,183,0.361379814
CS625,R,188,0.3568448
